Instance,Income
111994,73574.63421
111995,45549.21471
111996,93490.01738
111997,30725.78867
111998,92185.01512
111999,169496.5598
112000,144775.562
112001,153434.841
112002,133578.4364
112003,109992.2676
112004,47973.01433
112005,169924.63
112006,37984.99412
112007,157976.1099
112008,85938.07062
112009,112084.405
112010,81729.40551
112011,105994.9708
112012,110200.9037
112013,135854.4435
112014,90019.06236
112015,56984.56036
112016,154019.6354
112017,102619.9424
112018,79265.17921
112019,116904.9114
112020,32879.36685
112021,75351.77119
112022,109356.9296
112023,180851.0811
112024,45163.88683
112025,105744.9976
112026,67132.76206
112027,82362.09102
112028,78599.06196
112029,16804.74048
112030,128801.1113
112031,117076.5244
112032,158828.6914
112033,110894.8348
112034,63537.62995
112035,74134.31336
112036,110205.151
112037,66813.55086
112038,147708.7746
112039,67003.48896
112040,149005.8616
112041,142910.757
112042,128342.7273
112043,57042.31555
112044,125348.692
112045,130879.6151
112046,113332.2453
112047,108507.2291
112048,4809.594014
112049,106210.442
112050,113606.8133
112051,75113.49784
112052,145224.8862
112053,180624.3914
112054,156749.2169
112055,39447.18739
112056,151237.9823
112057,13558.30833
112058,186176.8105
112059,77699.73723
112060,105663.6048
112061,176893.7371
112062,145272.2765
112063,103642.7833
112064,25404.63568
112065,73226.57265
112066,79119.4029
112067,130169.117
112068,206887.8901
112069,134711.3101
112070,181812.4275
112071,156172.1073
112072,115763.6796
112073,74831.23697
112074,109469.9418
112075,58468.24524
112076,127859.7116
112077,193867.8429
112078,69602.88587
112079,88427.28917
112080,15862.95231
112081,176538.6229
112082,61418.85484
112083,164651.335
112084,96066.8203
112085,143533.8411
112086,73623.72269
112087,128715.3009
112088,111724.7847
112089,100450.9118
112090,137272.3942
112091,104880.1112
112092,93378.60793
112093,27711.5297
112094,92636.24517
112095,58267.55981
112096,56157.76457
112097,84796.06572
112098,18661.62467
112099,142755.3534
112100,85243.49929
112101,49209.75573
112102,89177.48248
112103,153583.6956
112104,82359.35214
112105,201397.4898
112106,151366.3489
112107,187742.255
112108,166796.9879
112109,94701.00631
112110,146562.9819
112111,56818.82229
112112,104983.2732
112113,134502.2571
112114,90194.32689
112115,105231.8501
112116,91815.6058
112117,162267.8308
112118,96670.82241
112119,121214.6149
112120,209979.4126
112121,123853.0233
112122,166042.064
112123,49507.80729
112124,150442.891
112125,125555.8161
112126,203812.3442
112127,50306.29578
112128,113572.0222
112129,94008.96402
112130,86696.14787
112131,158241.808
112132,93683.58891
112133,113064.6763
112134,141798.2113
112135,45221.57421
112136,78618.59704
112137,67460.16201
112138,27090.48455
112139,111638.6881
112140,103747.9928
112141,81906.40627
112142,65940.55457
112143,73527.54916
112144,27209.27628
112145,79167.90325
112146,176888.8767
112147,175345.6538
112148,140887.5097
112149,3160.147127
112150,76003.90994
112151,208544.6454
